Time,open,high,low,close,volume
2020-09-23,0.92012,0.92454,0.91898,0.92417,190552.47015
2020-09-24,0.92417,0.92802,0.92161,0.92679,203182.25008
2020-09-25,0.92678,0.92965,0.92507,0.92853,148013.12
2020-09-27,0.92911,0.92911,0.92802,0.92836,5090.85
2020-09-28,0.92836,0.92958,0.92371,0.92386,145940.51004
2020-09-29,0.92388,0.92474,0.91907,0.91948,130762.70003
2020-09-30,0.91946,0.92448,0.91626,0.92092,192486.27001
2020-10-01,0.92092,0.92146,0.91646,0.91896,168742.13008
2020-10-02,0.91896,0.92188,0.9181,0.92043,171087.36005
2020-10-04,0.91953,0.92002,0.91624,0.91804,12864.07
2020-10-05,0.91807,0.9187,0.91452,0.91514,110893.05999
2020-10-06,0.91516,0.91827,0.91333,0.91755,128901.13003
2020-10-07,0.91757,0.91847,0.91596,0.91705,108383.45001
2020-10-08,0.91706,0.91978,0.91572,0.91695,93324.48
2020-10-09,0.91695,0.91725,0.90929,0.91006,89241.48
2020-10-11,0.91099,0.91102,0.91007,0.91053,4455.16
2020-10-12,0.91053,0.91238,0.90875,0.90911,87704.84
2020-10-13,0.90912,0.9155,0.90897,0.91514,102078.99
2020-10-14,0.91518,0.91627,0.91134,0.91342,97414.33
2020-10-15,0.9134,0.91558,0.91267,0.91468,122814.91001
2020-10-16,0.91468,0.91624,0.91232,0.91496,122737.50001
2020-10-18,0.91494,0.91529,0.91475,0.91515,3540.77
2020-10-19,0.91515,0.91656,0.90903,0.9106,105426.12001
2020-10-20,0.91061,0.911,0.90555,0.90681,114640.72
2020-10-21,0.90685,0.90688,0.90308,0.90597,137750.55998
2020-10-22,0.906,0.90806,0.9054,0.90767,121369.10997
2020-10-23,0.90768,0.90925,0.90343,0.90441,104551.15
2020-10-25,0.90534,0.90555,0.90409,0.90463,8696.30001
2020-10-26,0.90465,0.90824,0.9043,0.90806,119139.17997
2020-10-27,0.90805,0.90995,0.90616,0.90895,107742.70999
2020-10-28,0.90895,0.91278,0.90851,0.91075,148324.97996
2020-10-29,0.91074,0.91729,0.90891,0.91535,159646.28996
2020-10-30,0.91535,0.91728,0.91384,0.91704,149518.39996
2020-11-01,0.91687,0.91733,0.91555,0.91722,3381.31999
2020-11-02,0.91726,0.92078,0.91663,0.91887,115184.76998
2020-11-03,0.91887,0.91918,0.91062,0.91068,102257.67
2020-11-04,0.91067,0.91968,0.90901,0.91166,283941.34993
2020-11-05,0.91166,0.91261,0.90297,0.90439,182018.44997
2020-11-06,0.90437,0.90567,0.89826,0.89987,201962.26993
2020-11-08,0.89926,0.90013,0.89877,0.89932,10609.65996
2020-11-09,0.89931,0.91435,0.8984,0.91278,242815.36967
2020-11-10,0.91278,0.91753,0.91154,0.91505,217254.33992
2020-11-11,0.91505,0.91921,0.91385,0.91669,132070.23996
2020-11-12,0.91669,0.91708,0.91315,0.91486,128081.25999
2020-11-13,0.91488,0.91592,0.91258,0.91265,94129.26
2020-11-15,0.91285,0.91326,0.912,0.91217,3998.25
2020-11-16,0.91214,0.91517,0.90978,0.91239,142689.94987
2020-11-17,0.91239,0.91285,0.90882,0.91135,113170.26999
2020-11-18,0.91132,0.91229,0.90921,0.91188,127402.35999
2020-11-19,0.91189,0.91397,0.90999,0.91111,139296.3
2020-11-20,0.91111,0.91234,0.90918,0.91111,114006.94
2020-11-22,0.91125,0.91151,0.91061,0.91065,6313.2
2020-11-23,0.91066,0.9148,0.90763,0.91249,137891.40998
2020-11-24,0.91244,0.91366,0.90979,0.91095,137943.6
2020-11-25,0.91095,0.91392,0.9078,0.90824,162625.30001
2020-11-26,0.9082,0.90936,0.90604,0.90655,107703.12
2020-11-27,0.90658,0.9083,0.90406,0.90447,115001.95006
2020-11-29,0.90436,0.90471,0.90405,0.90419,3230.78
2020-11-30,0.90419,0.90931,0.90193,0.90825,139030.30001
2020-12-01,0.90824,0.9084,0.89942,0.89958,137421.85002
2020-12-02,0.89958,0.90136,0.89437,0.89466,141681.23003
2020-12-03,0.89466,0.89539,0.88916,0.89091,120603.26
2020-12-04,0.89091,0.89233,0.88858,0.89204,124926.15001
2020-12-06,0.89136,0.89199,0.89111,0.8919,7602.17009
2020-12-07,0.89192,0.89468,0.88755,0.89087,122328.83002
2020-12-08,0.89089,0.89143,0.88817,0.88874,111653.12003
